experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,global,all,10334,9616,718,0.9305206115734469,24.965650917091306,0.15023254241102202,28.988188699122507,0.15023254241102202,27.75133178419461,0.15852709266916365,-0.057711019399337864,0.010181775378003908,24.4453125,14.73198419568362
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_0,752,665,87,0.8843085106382979,34.19087758458647,0.574520691431759,37.262787557448284,0.574520691431759,34.534071138647455,0.5679639193075715,0.05294522130042062,0.03878231010377792,35.4765625,14.815506287243295
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_1,765,687,78,0.8980392156862745,25.15066070778748,0.5080231810173751,28.45807236219788,0.5080231810173751,27.805335313890147,0.554986843266282,0.04372538306314809,0.03817149337382929,25.29296875,13.315635491175241
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_2,704,686,18,0.9744318181818182,14.067892447157435,0.4184453258658405,17.83316546639217,0.4184453258658405,19.55975400583941,0.5797295943172909,-0.04278327417845985,0.03820094590717079,12.03125,10.959753311408658
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_3,781,757,24,0.969270166453265,23.956582315059446,0.46190598990733195,27.118797795201193,0.46190598990733195,27.11797760217981,0.5143783512484074,0.028254307160975125,0.03637919669929365,23.9921875,12.708711879604088
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_4,724,701,23,0.9682320441988951,33.418041191155496,0.5772206963360049,36.74679949847442,0.5772206963360049,33.44304742728577,0.5509250145481493,-0.09290224315291482,0.037659896081147864,35.11328125,15.28272869376782
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_5,679,663,16,0.9764359351988218,27.32762419871795,0.49878229455726736,30.19507722690178,0.49878229455726736,29.529907822398098,0.5311188490413872,0.001382533825787627,0.03889545490678545,27.4453125,12.843038752266061
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_6,725,710,15,0.9793103448275862,25.055100132042252,0.527897706261989,28.733569118769406,0.527897706261989,27.443729334927053,0.5651432724566152,-0.029195112991690426,0.037566281261540775,25.4453125,14.066269998703818
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_7,780,697,83,0.8935897435897436,34.2080512464132,0.5419628696620452,37.07986280025289,0.5419628696620452,34.563533723938,0.538903691001328,0.06176337364222229,0.03785974277877884,36.71875,14.308230331118741
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_8,796,742,54,0.9321608040201005,14.532397658355794,0.45911351600025513,19.17272060419646,0.45911351600025513,20.402457449672383,0.6514629324199086,-0.09121350196421743,0.036607488841349,11.3046875,12.506103856357282
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_9,660,645,15,0.9772727272727273,26.813172238372093,0.595794382378282,30.78802471257335,0.595794382378282,29.307925822575918,0.6357312510873575,-0.07458246194562818,0.039326314728494675,26.65234375,15.131300678309826
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_10,769,603,166,0.7841352405721717,26.999138422470978,0.5100763535460642,29.763076808072093,0.5100763535460642,29.659817164086444,0.549483875757721,-0.08549133363667182,0.040641512016124315,26.71875,12.525464683094604
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_11,688,652,36,0.9476744186046512,19.129337615030675,0.48249951928639456,22.75348171455507,0.48249951928639456,23.021237442697988,0.5762673802254185,-0.08976828190088475,0.03906487022228467,17.9609375,12.320282973404645
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_12,568,507,61,0.8926056338028169,22.499175604043394,0.560212777243409,25.793971180209446,0.560212777243409,26.13114717841105,0.6338397947411609,0.06916346599134503,0.044392854990438574,21.953125,12.614120912053052
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,subject_id,person_13,943,901,42,0.9554612937433722,23.146209073251942,0.436087250745929,26.59120245099462,0.436087250745929,26.70355576548286,0.49613733818281386,0.05984534714257803,0.0332920894448748,22.9921875,13.089883625422024
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,discard_reason,,9616,9616,0,1.0,24.965650917091306,0.15023254241102202,28.988188699122507,0.15023254241102202,27.75133178419461,0.15852709266916365,-0.057711019399337864,0.010181775378003908,24.4453125,14.73198419568362
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,discard_reason,annotated_failure_interval,447,0,447,0.0,,,,,,,,,,
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,discard_reason,before_window_seconds,90,0,90,0.0,,,,,,,,,,
PhysNet_PURE,PhysNet,PURE,PURE_PhysNet_DiffNormalized.pth,discard_reason,window_out_of_prediction_bounds,181,0,181,0.0,,,,,,,,,,
